observation,string,abstract,node,accuracy
20,M0R1V1_CC_SNG,A2,S1,1
21,M0R1V1_CC_SNG,A2,S1,1
22,M0R1V1_CC_SNG,A2,S1,1
23,M0R1V1_CC_SNG,A2,S1,1
24,M0R1V1_CC_SNG,A2,S1,1
25,M0R1V1_CC_SNG,A2,S1,1
26,M0R1V1_CC_SNG,A2,S1,1
27,M0R1V1_CC_SNG,A2,S1,0.3333333333
28,M0R1V1_CC_SNG,A2,S1,1
29,M0R1V1_CC_SNG,A2,S1,1
30,M0R1V1_CC_SNG,A2,S1,1
1,M0R2V0_CC_SEQ,A3,S2,1
2,M0R2V0_CC_SEQ,A3,S2,0.6
3,M0R2V0_CC_SEQ,A3,S2,1
4,M0R2V0_CC_SEQ,A3,S2,1
5,M0R2V0_CC_SEQ,A3,S2,1
6,M0R2V0_CC_SEQ,A3,S2,1
7,M0R2V0_CC_SEQ,A3,S2,0.8
8,M0R2V0_CC_SEQ,A3,S2,1
9,M0R2V0_CC_SEQ,A3,S2,0.8
10,M0R2V0_CC_SEQ,A3,S2,1
11,M0R2V0_CC_SEQ,A3,S2,1
12,M0R2V0_CC_SEQ,A3,S2,1
13,M0R2V0_CC_SEQ,A3,S2,1
14,M0R2V0_CC_SEQ,A3,S2,0.6
15,M0R2V0_CC_SEQ,A3,S2,0.8
16,M0R2V0_CC_SEQ,A3,S2,1
17,M0R2V0_CC_SEQ,A3,S2,1
18,M0R2V0_CC_SEQ,A3,S2,1
19,M0R2V0_CC_SEQ,A3,S2,0.6
20,M0R2V0_CC_SEQ,A3,S2,0.6
21,M0R2V0_CC_SEQ,A3,S2,0.8
22,M0R2V0_CC_SEQ,A3,S2,1
23,M0R2V0_CC_SEQ,A3,S2,0.6
24,M0R2V0_CC_SEQ,A3,S2,1
25,M0R2V0_CC_SEQ,A3,S2,1
26,M0R2V0_CC_SEQ,A3,S2,1
27,M0R2V0_CC_SEQ,A3,S2,0.8
28,M0R2V0_CC_SEQ,A3,S2,0.4
29,M0R2V0_CC_SEQ,A3,S2,1
30,M0R2V0_CC_SEQ,A3,S2,1
1,M0R2V1_CC_SNG,A3,S1,0.6
2,M0R2V1_CC_SNG,A3,S1,1
3,M0R2V1_CC_SNG,A3,S1,1
4,M0R2V1_CC_SNG,A3,S1,0.8
5,M0R2V1_CC_SNG,A3,S1,0
6,M0R2V1_CC_SNG,A3,S1,1
7,M0R2V1_CC_SNG,A3,S1,1
8,M0R2V1_CC_SNG,A3,S1,1
9,M0R2V1_CC_SNG,A3,S1,1
10,M0R2V1_CC_SNG,A3,S1,0.8
11,M0R2V1_CC_SNG,A3,S1,1
12,M0R2V1_CC_SNG,A3,S1,1
13,M0R2V1_CC_SNG,A3,S1,0.75
14,M0R2V1_CC_SNG,A3,S1,1
15,M0R2V1_CC_SNG,A3,S1,0.4
16,M0R2V1_CC_SNG,A3,S1,1
17,M0R2V1_CC_SNG,A3,S1,1
18,M0R2V1_CC_SNG,A3,S1,0.8
19,M0R2V1_CC_SNG,A3,S1,1
20,M0R2V1_CC_SNG,A3,S1,0.4
21,M0R2V1_CC_SNG,A3,S1,1
22,M0R2V1_CC_SNG,A3,S1,1
23,M0R2V1_CC_SNG,A3,S1,1
24,M0R2V1_CC_SNG,A3,S1,1
25,M0R2V1_CC_SNG,A3,S1,1
26,M0R2V1_CC_SNG,A3,S1,1
27,M0R2V1_CC_SNG,A3,S1,1
28,M0R2V1_CC_SNG,A3,S1,1
29,M0R2V1_CC_SNG,A3,S1,0.6
30,M0R2V1_CC_SNG,A3,S1,1
