observation,string,abstract,node,accuracy
30,M8R1V1_ADD,A14,L3,0.8
1,M8R2V0_SEQKLE,A15,L2,1
2,M8R2V0_SEQKLE,A15,L2,1
3,M8R2V0_SEQKLE,A15,L2,0.6
4,M8R2V0_SEQKLE,A15,L2,0.8
5,M8R2V0_SEQKLE,A15,L2,0.6
6,M8R2V0_SEQKLE,A15,L2,1
7,M8R2V0_SEQKLE,A15,L2,1
8,M8R2V0_SEQKLE,A15,L2,1
9,M8R2V0_SEQKLE,A15,L2,1
10,M8R2V0_SEQKLE,A15,L2,0.6
11,M8R2V0_SEQKLE,A15,L2,0.6
12,M8R2V0_SEQKLE,A15,L2,1
13,M8R2V0_SEQKLE,A15,L2,0.8
14,M8R2V0_SEQKLE,A15,L2,1
15,M8R2V0_SEQKLE,A15,L2,0.4
16,M8R2V0_SEQKLE,A15,L2,1
17,M8R2V0_SEQKLE,A15,L2,1
18,M8R2V0_SEQKLE,A15,L2,0.8
19,M8R2V0_SEQKLE,A15,L2,1
20,M8R2V0_SEQKLE,A15,L2,1
21,M8R2V0_SEQKLE,A15,L2,1
22,M8R2V0_SEQKLE,A15,L2,1
23,M8R2V0_SEQKLE,A15,L2,0.4
24,M8R2V0_SEQKLE,A15,L2,1
25,M8R2V0_SEQKLE,A15,L2,0.6
26,M8R2V0_SEQKLE,A15,L2,1
27,M8R2V0_SEQKLE,A15,L2,0.6
28,M8R2V0_SEQKLE,A15,L2,1
29,M8R2V0_SEQKLE,A15,L2,1
30,M8R2V0_SEQKLE,A15,L2,1
1,M8R2V1_ADD,A15,L3,0.6
2,M8R2V1_ADD,A15,L3,0.6
3,M8R2V1_ADD,A15,L3,1
4,M8R2V1_ADD,A15,L3,1
5,M8R2V1_ADD,A15,L3,1
6,M8R2V1_ADD,A15,L3,1
7,M8R2V1_ADD,A15,L3,1
8,M8R2V1_ADD,A15,L3,1
9,M8R2V1_ADD,A15,L3,1
10,M8R2V1_ADD,A15,L3,0.8
11,M8R2V1_ADD,A15,L3,1
12,M8R2V1_ADD,A15,L3,1
13,M8R2V1_ADD,A15,L3,1
14,M8R2V1_ADD,A15,L3,1
15,M8R2V1_ADD,A15,L3,1
16,M8R2V1_ADD,A15,L3,0.6666666667
17,M8R2V1_ADD,A15,L3,0.4
18,M8R2V1_ADD,A15,L3,1
19,M8R2V1_ADD,A15,L3,1
20,M8R2V1_ADD,A15,L3,1
21,M8R2V1_ADD,A15,L3,1
22,M8R2V1_ADD,A15,L3,1
23,M8R2V1_ADD,A15,L3,1
24,M8R2V1_ADD,A15,L3,1
25,M8R2V1_ADD,A15,L3,1
26,M8R2V1_ADD,A15,L3,1
27,M8R2V1_ADD,A15,L3,1
28,M8R2V1_ADD,A15,L3,1
29,M8R2V1_ADD,A15,L3,0.4
30,M8R2V1_ADD,A15,L3,1
