'([ ]+_)|(_[ ]+)|([ ]+)'	236,247,919,1007,1395
'([\\\\"]|[^\\ -~])'	55,113,147,181,233,247,251,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,919,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'(\r\n|\r|\n)'	12,173,218,251,252,287,305,309,369,412,487,602,639,702,759,852,961,1054,1087,1104,1221,1247,1257,1386,1415,1469,1495,1505,1509,1511,1536,1555,1580
'\\r\\n|\\r|\\n'	12,82,89,114,287,302,323,355,412,422,602,759,849,852,866,878,961,1004,1012,1054,1074,1075,1086,1087,1184,1221,1495,1509,1511,1517,1580,1634
'\r(?!\n)|(?<!\r)\n'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'(((?<=[a-z])[A-Z])|([A-Z](?![A-Z]|$)))'	82,89,302,323,355,422,716,849,866,878,936,1004,1012,1074,1075,1086,1158,1184,1223,1420,1495,1517,1576,1580,1634
'^(\\s*def\\s)|(.*(?<!\\w)lambda(:|\\s))|^(\\s*@)'	12,287,381,412,422,602,747,759,807,852,961,992,1054,1087,1104,1221,1257,1386,1415,1469,1509,1511,1517,1536,1580
'(\\(|\\)|\\s+)'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1634
'(<!--.*?-->|<[^>]*>)'	96,113,147,181,251,252,487,639,1087,1104,1257,1349,1386,1415,1469,1495,1536,1555,1580
'\\?|[-+]?[.\\w]+$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'&([a-zA-Z][a-zA-Z0-9]*|#[0-9]*)?|<([a-zA-Z][^<>]*|/([a-zA-Z][^<>]*)?|![^<>]*)?'	12,287,412,413,510,602,759,774,852,961,1054,1076,1087,1221,1509,1511
'( +|-+)'	12,287,389,412,602,743,759,852,961,1054,1087,1221,1509,1511,1580
'(\\.|\\s)'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'(\\.|\\s|/|-)'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'(\\(|\\)|\\s+|-)'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
',\\s*|\\s+'	12,287,412,602,759,852,961,1054,1087,1221,1475,1509,1511,1580
'(\\++|\\-+|\\^+)'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'(\\r\\n)|\\n|\\r'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'%\\(([^)]*)\\)s|.'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'\n    \\""" [^"\\\\]* (?:\n                     (?: \\\\. | "(?!"") )\n                     [^"\\\\]*\n                 )*\n    (?: \\""" )?\n\n|   " [^"\\\\\\n]* (?: \\\\. [^"\\\\\\n]* )* "?\n\n|   \'\'\' [^\'\\\\]* (?:\n                   (?: \\\\. | \'(?!\'\') )\n                   [^\'\\\\]*\n                )*\n    (?: \'\'\' )?\n\n|   \' [^\'\\\\\\n]* (?: \\\\. [^\'\\\\\\n]* )* \'?\n'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'(__libc_init)|(GLIBC_([0-9.]+))|(libc(_\\w+)?\\.so(?:\\.(\\d[0-9.]*))?)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'(::|\\.\\.|\\(\\)|[/.*:\\[\\]\\(\\)@=])|((?:\\{[^}]+\\})?[^/:\\[\\]\\(\\)@=\\s]+)|\\s+'	12,147,245,287,305,602,1248,1317,1501,1505,1509,1638
'(\\s+|[^\\s\\w]*\\w+[a-zA-Z]-(?=\\w+[a-zA-Z])|(?<=[\\w\\!\\"\\\'\\&\\.\\,\\?])-{2,}(?=\\w))'	12,287,412,602,636,759,852,961,1125,1221,1509,1511
'([\\\\"/]|[^\\ -~])'	41,82,89,101,200,560,1004,1074,1075,1300,1495
'(\\w+(?:\\.c)?|\\W+)'	12,412,549,759,852,961,1054,1087,1221,1511,1580
'(Out\\[[0-9]+\\]: )|(   \\.\\.\\.+:)'	538,642,747,776,971,975,1000,1203,1288,1495,1621
'(In \\[[0-9]+\\]: )|(   \\.\\.\\.+:)'	538,642,747,776,971,975,1000,1203,1288,1495,1621
'(\\s+|(?<=[\\w\\!\\"\\\'\\&\\.\\,\\?])-{2,}(?=\\w))'	308,322,467,505,534,636,743,1125,1216,1466
'{|}'	412,757,759,852,961,1087,1179,1221,1511
'\\\\.|.'	302,849,878,1012,1086,1158,1495,1580,1634
'({)|(})'	12,412,759,852,961,1054,1087,1221,1511
'(\\033|~{)'	305,619,927,1292,1399,1431,1439,1469,1505
'\\\\(begin|end){([_a-zA-Z]+)}|([()\\[\\]])'	12,412,759,852,961,1054,1087,1221,1511
'(a|(b))'	12,412,759,852,961,1087,1221,1511
'(b)|(:+)'	12,412,759,852,961,1087,1221,1511
'(\x1b|~{)'	459,927,1263,1292,1469,1535,1580,1594
'\\S+| +|\\n'	46,147,162,181,251,619,1087,1267
'(?:b)|(?::+)'	12,412,759,852,961,1087,1221,1511
'[\\\\"]|[^ -~]'	306,322,467,505,534,896,1007,1466
'[[({] | []}),;:]'	304,640,662,842,945,1025,1322,1505
'.*/|\\.$|\\.\\.$'	308,322,467,505,534,743,1216,1466
'&.*?;|<.*?>|(\\w[\\w-]*)'	359,849,878,1012,1086,1495,1580,1634
'\\s|\\+|\\-|\\*|\\/|<<|>>]'	322,416,467,505,534,1199,1300,1466
"[\t\n #$%&'()*;<=>?[{|}~]|^$"	306,322,467,505,534,896,1007,1466
'SECRET|PASSWORD|PROFANITIES_LIST|SIGNATURE'	302,323,355,422,866,1004,1495,1517
'\\b(http|ftp|https)://\\S+(\\b|/)|\\b[-.\\w]+@[-.\\w]+'	12,412,759,852,961,1087,1221,1511
'(?:;\\s*|\\s+)(\\b\\w{2}\\b(?:-\\b\\w{2}\\b)?)\\s*;|(?:\\(|\\[|;)\\s*(\\b\\w{2}\\b(?:-\\b\\w{2}\\b)?)\\s*(?:\\]|\\)|;)'	992,1104,1257,1386,1415,1469,1536,1580
'(a)|(b)'	12,412,759,852,1087,1221,1511
'\r\n|\r'	552,606,719,1158,1223,1247,1420
'^[-0-9]+|-+$'	147,162,181,251,619,1087,1267
'(\\s*#)|(\\s*$)'	420,543,596,993,1223,1420,1499
'([(\\[{])|([)}\\])])'	1025,1082,1322,1326,1482,1504,1505
'~$|\\.bak$|#$|\\.cvsignore$'	147,162,181,251,619,1087,1267
'(\\s+|-*\\w{2,}-(?=\\w{2,}))'	322,467,505,534,743,1216,1466
'(?:(?<!\\r)\\n)|(?:\\r(?!\\n))'	55,225,287,510,602,774,1509
'SECRET|PASSWORD|PROFANITIES_LIST'	82,89,1004,1074,1075,1184,1495
'API|TOKEN|KEY|SECRET|PASS|PROFANITIES_LIST|SIGNATURE'	849,878,1012,1086,1495,1580,1634
'(\\s+|[^\\s\\w]*\\w{2,}-(?=\\w{2,})|(?<=[\\w\\!\\"\\\'\\&\\.\\,\\?])-{2,}(?=\\w))'	322,467,505,534,743,1216,1466
'([^\'"<>]|"[^"]*"(?=>|/|\\s|\\w+=)|\'[^\']*\'(?=>|/|\\s|\\w+=))*(?=[<>])|.*?(?=[<>])'	220,454,666,707,927,1003,1247
'p|div|h[1-6]|blockquote|pre|table|dl|ol|ul|script|noscript|form|fieldset|iframe|math|ins|del|hr|hr/|style|li|dt|dd|thead|tbody|tr|th|td'	247,552,606,919,1007,1223,1420
'//|/$'	82,89,1004,1074,1075,1495
'<!--|-->'	82,89,1004,1074,1075,1495
'^ | $|/ | /'	82,89,1004,1074,1075,1495
'[\\._]|\\-(?=$)'	84,506,851,1269,1498,1561
'\\$\\$|\\${\\w+}'	76,1205,1243,1244,1246,1540
