observation,code,regex,refactoring,accuracy
1,M2R0V0_RNG,R0,RNG,0.8
2,M2R0V0_RNG,R0,RNG,1
3,M2R0V0_RNG,R0,RNG,1
4,M2R0V0_RNG,R0,RNG,1
5,M2R0V0_RNG,R0,RNG,1
6,M2R0V0_RNG,R0,RNG,0.5
7,M2R0V0_RNG,R0,RNG,1
8,M2R0V0_RNG,R0,RNG,1
9,M2R0V0_RNG,R0,RNG,1
10,M2R0V0_RNG,R0,RNG,1
11,M2R0V0_RNG,R0,RNG,0.6
12,M2R0V0_RNG,R0,RNG,1
13,M2R0V0_RNG,R0,RNG,0.2
14,M2R0V0_RNG,R0,RNG,1
15,M2R0V0_RNG,R0,RNG,0.75
16,M2R0V0_RNG,R0,RNG,0.8
17,M2R0V0_RNG,R0,RNG,0.8
18,M2R0V0_RNG,R0,RNG,1
19,M2R0V0_RNG,R0,RNG,1
20,M2R0V0_RNG,R0,RNG,1
21,M2R0V0_RNG,R0,RNG,1
22,M2R0V0_RNG,R0,RNG,1
23,M2R0V0_RNG,R0,RNG,0.8
24,M2R0V0_RNG,R0,RNG,1
25,M2R0V0_RNG,R0,RNG,1
26,M2R0V0_RNG,R0,RNG,1
27,M2R0V0_RNG,R0,RNG,1
28,M2R0V0_RNG,R0,RNG,1
29,M2R0V0_RNG,R0,RNG,1
30,M2R0V0_RNG,R0,RNG,0.8
1,M2R0V1_DEC,R0,DEC,1
2,M2R0V1_DEC,R0,DEC,1
3,M2R0V1_DEC,R0,DEC,1
4,M2R0V1_DEC,R0,DEC,0.8
5,M2R0V1_DEC,R0,DEC,1
6,M2R0V1_DEC,R0,DEC,0.6
7,M2R0V1_DEC,R0,DEC,1
8,M2R0V1_DEC,R0,DEC,0.8
9,M2R0V1_DEC,R0,DEC,1
10,M2R0V1_DEC,R0,DEC,1
11,M2R0V1_DEC,R0,DEC,1
12,M2R0V1_DEC,R0,DEC,1
13,M2R0V1_DEC,R0,DEC,1
14,M2R0V1_DEC,R0,DEC,0.3333333333
15,M2R0V1_DEC,R0,DEC,1
16,M2R0V1_DEC,R0,DEC,1
17,M2R0V1_DEC,R0,DEC,1
18,M2R0V1_DEC,R0,DEC,1
