observation,code,regex,refactoring,accuracy
19,M2R0V1_DEC,R0,DEC,1
20,M2R0V1_DEC,R0,DEC,0.8
21,M2R0V1_DEC,R0,DEC,1
22,M2R0V1_DEC,R0,DEC,1
23,M2R0V1_DEC,R0,DEC,1
24,M2R0V1_DEC,R0,DEC,1
25,M2R0V1_DEC,R0,DEC,1
26,M2R0V1_DEC,R0,DEC,1
27,M2R0V1_DEC,R0,DEC,1
28,M2R0V1_DEC,R0,DEC,1
29,M2R0V1_DEC,R0,DEC,1
30,M2R0V1_DEC,R0,DEC,1
1,M2R1V0_RNG,R1,RNG,1
2,M2R1V0_RNG,R1,RNG,1
3,M2R1V0_RNG,R1,RNG,0.8
4,M2R1V0_RNG,R1,RNG,0.8
5,M2R1V0_RNG,R1,RNG,1
6,M2R1V0_RNG,R1,RNG,1
7,M2R1V0_RNG,R1,RNG,0.8
8,M2R1V0_RNG,R1,RNG,1
9,M2R1V0_RNG,R1,RNG,0.4
10,M2R1V0_RNG,R1,RNG,1
11,M2R1V0_RNG,R1,RNG,0.4
12,M2R1V0_RNG,R1,RNG,1
13,M2R1V0_RNG,R1,RNG,0.4
14,M2R1V0_RNG,R1,RNG,1
15,M2R1V0_RNG,R1,RNG,0.8
16,M2R1V0_RNG,R1,RNG,1
17,M2R1V0_RNG,R1,RNG,0.6
18,M2R1V0_RNG,R1,RNG,0.4
19,M2R1V0_RNG,R1,RNG,0.8
20,M2R1V0_RNG,R1,RNG,1
21,M2R1V0_RNG,R1,RNG,1
22,M2R1V0_RNG,R1,RNG,1
23,M2R1V0_RNG,R1,RNG,0.8
24,M2R1V0_RNG,R1,RNG,0.6
25,M2R1V0_RNG,R1,RNG,0.8
26,M2R1V0_RNG,R1,RNG,1
27,M2R1V0_RNG,R1,RNG,1
28,M2R1V0_RNG,R1,RNG,1
29,M2R1V0_RNG,R1,RNG,0.6
30,M2R1V0_RNG,R1,RNG,0.8
1,M2R1V1_DEC,R1,DEC,0.6
2,M2R1V1_DEC,R1,DEC,0.2
3,M2R1V1_DEC,R1,DEC,1
4,M2R1V1_DEC,R1,DEC,1
5,M2R1V1_DEC,R1,DEC,1
6,M2R1V1_DEC,R1,DEC,1
7,M2R1V1_DEC,R1,DEC,0.6
8,M2R1V1_DEC,R1,DEC,1
9,M2R1V1_DEC,R1,DEC,1
10,M2R1V1_DEC,R1,DEC,1
11,M2R1V1_DEC,R1,DEC,1
12,M2R1V1_DEC,R1,DEC,1
13,M2R1V1_DEC,R1,DEC,0.6
14,M2R1V1_DEC,R1,DEC,1
15,M2R1V1_DEC,R1,DEC,0.6
16,M2R1V1_DEC,R1,DEC,0.6
17,M2R1V1_DEC,R1,DEC,1
18,M2R1V1_DEC,R1,DEC,1
19,M2R1V1_DEC,R1,DEC,0.6
20,M2R1V1_DEC,R1,DEC,1
21,M2R1V1_DEC,R1,DEC,0.4
22,M2R1V1_DEC,R1,DEC,0.6
23,M2R1V1_DEC,R1,DEC,1
24,M2R1V1_DEC,R1,DEC,0.8
25,M2R1V1_DEC,R1,DEC,1
26,M2R1V1_DEC,R1,DEC,0.6
27,M2R1V1_DEC,R1,DEC,1
28,M2R1V1_DEC,R1,DEC,0.6
29,M2R1V1_DEC,R1,DEC,0.6
30,M2R1V1_DEC,R1,DEC,1
1,M2R2V0_RNG,R2,RNG,0.75
2,M2R2V0_RNG,R2,RNG,1
3,M2R2V0_RNG,R2,RNG,1
4,M2R2V0_RNG,R2,RNG,1
5,M2R2V0_RNG,R2,RNG,0.8
6,M2R2V0_RNG,R2,RNG,1
7,M2R2V0_RNG,R2,RNG,0.8
8,M2R2V0_RNG,R2,RNG,1
9,M2R2V0_RNG,R2,RNG,1
10,M2R2V0_RNG,R2,RNG,0.8
11,M2R2V0_RNG,R2,RNG,0.8
12,M2R2V0_RNG,R2,RNG,1
13,M2R2V0_RNG,R2,RNG,1
14,M2R2V0_RNG,R2,RNG,1
15,M2R2V0_RNG,R2,RNG,0.8
16,M2R2V0_RNG,R2,RNG,1
17,M2R2V0_RNG,R2,RNG,1
18,M2R2V0_RNG,R2,RNG,1
19,M2R2V0_RNG,R2,RNG,1
20,M2R2V0_RNG,R2,RNG,0.4
21,M2R2V0_RNG,R2,RNG,1
22,M2R2V0_RNG,R2,RNG,0.8
23,M2R2V0_RNG,R2,RNG,1
24,M2R2V0_RNG,R2,RNG,0.6
25,M2R2V0_RNG,R2,RNG,1
26,M2R2V0_RNG,R2,RNG,1
27,M2R2V0_RNG,R2,RNG,1
28,M2R2V0_RNG,R2,RNG,1
29,M2R2V0_RNG,R2,RNG,0.8
30,M2R2V0_RNG,R2,RNG,1
1,M2R2V1_DEC,R2,DEC,0.8
2,M2R2V1_DEC,R2,DEC,0.8
3,M2R2V1_DEC,R2,DEC,0.4
4,M2R2V1_DEC,R2,DEC,1
5,M2R2V1_DEC,R2,DEC,1
6,M2R2V1_DEC,R2,DEC,1
7,M2R2V1_DEC,R2,DEC,0.4
8,M2R2V1_DEC,R2,DEC,0.8
9,M2R2V1_DEC,R2,DEC,1
10,M2R2V1_DEC,R2,DEC,1
11,M2R2V1_DEC,R2,DEC,0.8
12,M2R2V1_DEC,R2,DEC,1
13,M2R2V1_DEC,R2,DEC,1
14,M2R2V1_DEC,R2,DEC,0.6
15,M2R2V1_DEC,R2,DEC,1
16,M2R2V1_DEC,R2,DEC,1
17,M2R2V1_DEC,R2,DEC,1
18,M2R2V1_DEC,R2,DEC,0.6
19,M2R2V1_DEC,R2,DEC,0.8
20,M2R2V1_DEC,R2,DEC,1
21,M2R2V1_DEC,R2,DEC,0.8
22,M2R2V1_DEC,R2,DEC,0.8
23,M2R2V1_DEC,R2,DEC,1
24,M2R2V1_DEC,R2,DEC,0.6
25,M2R2V1_DEC,R2,DEC,0.4
26,M2R2V1_DEC,R2,DEC,1
27,M2R2V1_DEC,R2,DEC,0.8
28,M2R2V1_DEC,R2,DEC,1
29,M2R2V1_DEC,R2,DEC,0.8
30,M2R2V1_DEC,R2,DEC,0.8
