observation,code,regex,refactoring,accuracy
1,M3R0V0_OCTRNG,R0,OCTRNG,0.6
2,M3R0V0_OCTRNG,R0,OCTRNG,NA
3,M3R0V0_OCTRNG,R0,OCTRNG,0.8
4,M3R0V0_OCTRNG,R0,OCTRNG,1
5,M3R0V0_OCTRNG,R0,OCTRNG,1
6,M3R0V0_OCTRNG,R0,OCTRNG,0.6
7,M3R0V0_OCTRNG,R0,OCTRNG,0.6
8,M3R0V0_OCTRNG,R0,OCTRNG,1
9,M3R0V0_OCTRNG,R0,OCTRNG,1
10,M3R0V0_OCTRNG,R0,OCTRNG,0.5
11,M3R0V0_OCTRNG,R0,OCTRNG,1
12,M3R0V0_OCTRNG,R0,OCTRNG,0.6
13,M3R0V0_OCTRNG,R0,OCTRNG,NA
14,M3R0V0_OCTRNG,R0,OCTRNG,0.4
15,M3R0V0_OCTRNG,R0,OCTRNG,0.75
16,M3R0V0_OCTRNG,R0,OCTRNG,0.5
17,M3R0V0_OCTRNG,R0,OCTRNG,0.6
18,M3R0V0_OCTRNG,R0,OCTRNG,1
19,M3R0V0_OCTRNG,R0,OCTRNG,0.4
20,M3R0V0_OCTRNG,R0,OCTRNG,NA
21,M3R0V0_OCTRNG,R0,OCTRNG,0.6
22,M3R0V0_OCTRNG,R0,OCTRNG,0.4
23,M3R0V0_OCTRNG,R0,OCTRNG,1
24,M3R0V0_OCTRNG,R0,OCTRNG,0.6
25,M3R0V0_OCTRNG,R0,OCTRNG,0.6
26,M3R0V0_OCTRNG,R0,OCTRNG,0.8
27,M3R0V0_OCTRNG,R0,OCTRNG,0.4
28,M3R0V0_OCTRNG,R0,OCTRNG,0.8
29,M3R0V0_OCTRNG,R0,OCTRNG,NA
30,M3R0V0_OCTRNG,R0,OCTRNG,1
1,M3R0V1_CCC,R0,CCC,0.6
2,M3R0V1_CCC,R0,CCC,0.3333333333
3,M3R0V1_CCC,R0,CCC,1
4,M3R0V1_CCC,R0,CCC,1
5,M3R0V1_CCC,R0,CCC,0.6
6,M3R0V1_CCC,R0,CCC,0.6
7,M3R0V1_CCC,R0,CCC,0.5
8,M3R0V1_CCC,R0,CCC,0.6
9,M3R0V1_CCC,R0,CCC,0.8
10,M3R0V1_CCC,R0,CCC,1
11,M3R0V1_CCC,R0,CCC,1
12,M3R0V1_CCC,R0,CCC,0.6
13,M3R0V1_CCC,R0,CCC,1
14,M3R0V1_CCC,R0,CCC,0.6
15,M3R0V1_CCC,R0,CCC,0.5
16,M3R0V1_CCC,R0,CCC,0.6
17,M3R0V1_CCC,R0,CCC,0.6
18,M3R0V1_CCC,R0,CCC,1
19,M3R0V1_CCC,R0,CCC,0.8
20,M3R0V1_CCC,R0,CCC,1
21,M3R0V1_CCC,R0,CCC,1
22,M3R0V1_CCC,R0,CCC,0.6
23,M3R0V1_CCC,R0,CCC,1
24,M3R0V1_CCC,R0,CCC,1
25,M3R0V1_CCC,R0,CCC,0.6
26,M3R0V1_CCC,R0,CCC,0.8
27,M3R0V1_CCC,R0,CCC,1
28,M3R0V1_CCC,R0,CCC,0.6
29,M3R0V1_CCC,R0,CCC,1
30,M3R0V1_CCC,R0,CCC,1
1,M3R0V2_HEXRNG,R0,HEXRNG,0.6
2,M3R0V2_HEXRNG,R0,HEXRNG,0.6
3,M3R0V2_HEXRNG,R0,HEXRNG,0.6
4,M3R0V2_HEXRNG,R0,HEXRNG,1
5,M3R0V2_HEXRNG,R0,HEXRNG,1
6,M3R0V2_HEXRNG,R0,HEXRNG,1
7,M3R0V2_HEXRNG,R0,HEXRNG,1
8,M3R0V2_HEXRNG,R0,HEXRNG,1
9,M3R0V2_HEXRNG,R0,HEXRNG,0.6
10,M3R0V2_HEXRNG,R0,HEXRNG,0.8
11,M3R0V2_HEXRNG,R0,HEXRNG,1
