observation,code,regex,refactoring,accuracy
1,M6R0V0_OR,R0,OR,0.4
2,M6R0V0_OR,R0,OR,0.4
3,M6R0V0_OR,R0,OR,0.4
4,M6R0V0_OR,R0,OR,0.4
5,M6R0V0_OR,R0,OR,0.4
6,M6R0V0_OR,R0,OR,0.4
7,M6R0V0_OR,R0,OR,0.25
8,M6R0V0_OR,R0,OR,1
9,M6R0V0_OR,R0,OR,1
10,M6R0V0_OR,R0,OR,0
11,M6R0V0_OR,R0,OR,0.8
12,M6R0V0_OR,R0,OR,0.8
13,M6R0V0_OR,R0,OR,1
14,M6R0V0_OR,R0,OR,1
15,M6R0V0_OR,R0,OR,1
16,M6R0V0_OR,R0,OR,1
17,M6R0V0_OR,R0,OR,0.4
18,M6R0V0_OR,R0,OR,0.25
19,M6R0V0_OR,R0,OR,1
20,M6R0V0_OR,R0,OR,0.6
21,M6R0V0_OR,R0,OR,0.8
22,M6R0V0_OR,R0,OR,1
23,M6R0V0_OR,R0,OR,1
24,M6R0V0_OR,R0,OR,0.4
25,M6R0V0_OR,R0,OR,1
26,M6R0V0_OR,R0,OR,1
27,M6R0V0_OR,R0,OR,1
28,M6R0V0_OR,R0,OR,1
29,M6R0V0_OR,R0,OR,0.4
30,M6R0V0_OR,R0,OR,1
1,M6R0V1_CCC,R0,CCC,0.2
2,M6R0V1_CCC,R0,CCC,NA
3,M6R0V1_CCC,R0,CCC,1
4,M6R0V1_CCC,R0,CCC,1
5,M6R0V1_CCC,R0,CCC,1
6,M6R0V1_CCC,R0,CCC,0.25
7,M6R0V1_CCC,R0,CCC,0.8
8,M6R0V1_CCC,R0,CCC,1
9,M6R0V1_CCC,R0,CCC,0.8
10,M6R0V1_CCC,R0,CCC,1
11,M6R0V1_CCC,R0,CCC,1
12,M6R0V1_CCC,R0,CCC,1
13,M6R0V1_CCC,R0,CCC,0.4
14,M6R0V1_CCC,R0,CCC,0.8
15,M6R0V1_CCC,R0,CCC,1
16,M6R0V1_CCC,R0,CCC,1
17,M6R0V1_CCC,R0,CCC,1
18,M6R0V1_CCC,R0,CCC,1
19,M6R0V1_CCC,R0,CCC,0.4
20,M6R0V1_CCC,R0,CCC,1
21,M6R0V1_CCC,R0,CCC,1
22,M6R0V1_CCC,R0,CCC,0.4
23,M6R0V1_CCC,R0,CCC,0.4
24,M6R0V1_CCC,R0,CCC,0.4
25,M6R0V1_CCC,R0,CCC,1
26,M6R0V1_CCC,R0,CCC,0.8
27,M6R0V1_CCC,R0,CCC,0.8
28,M6R0V1_CCC,R0,CCC,1
29,M6R0V1_CCC,R0,CCC,0.4
30,M6R0V1_CCC,R0,CCC,1
1,M6R0V2_OCTCCC,R0,OCTCCC,0.5
2,M6R0V2_OCTCCC,R0,OCTCCC,0.6
3,M6R0V2_OCTCCC,R0,OCTCCC,0.4
4,M6R0V2_OCTCCC,R0,OCTCCC,0.4
5,M6R0V2_OCTCCC,R0,OCTCCC,1
6,M6R0V2_OCTCCC,R0,OCTCCC,NA
7,M6R0V2_OCTCCC,R0,OCTCCC,0.5
8,M6R0V2_OCTCCC,R0,OCTCCC,1
9,M6R0V2_OCTCCC,R0,OCTCCC,0.4
10,M6R0V2_OCTCCC,R0,OCTCCC,0.4
11,M6R0V2_OCTCCC,R0,OCTCCC,0.4
12,M6R0V2_OCTCCC,R0,OCTCCC,0.4
13,M6R0V2_OCTCCC,R0,OCTCCC,0.6
14,M6R0V2_OCTCCC,R0,OCTCCC,1
15,M6R0V2_OCTCCC,R0,OCTCCC,0.4
16,M6R0V2_OCTCCC,R0,OCTCCC,0.5
17,M6R0V2_OCTCCC,R0,OCTCCC,0.4
18,M6R0V2_OCTCCC,R0,OCTCCC,0.5
19,M6R0V2_OCTCCC,R0,OCTCCC,1
20,M6R0V2_OCTCCC,R0,OCTCCC,0.6
21,M6R0V2_OCTCCC,R0,OCTCCC,0.3333333333
22,M6R0V2_OCTCCC,R0,OCTCCC,0.4
23,M6R0V2_OCTCCC,R0,OCTCCC,0.4
24,M6R0V2_OCTCCC,R0,OCTCCC,0.4
25,M6R0V2_OCTCCC,R0,OCTCCC,NA
26,M6R0V2_OCTCCC,R0,OCTCCC,0.5
27,M6R0V2_OCTCCC,R0,OCTCCC,0.6
28,M6R0V2_OCTCCC,R0,OCTCCC,0.8
29,M6R0V2_OCTCCC,R0,OCTCCC,0.4
30,M6R0V2_OCTCCC,R0,OCTCCC,0.4
1,M6R1V0_OR,R1,OR,1
2,M6R1V0_OR,R1,OR,1
3,M6R1V0_OR,R1,OR,0.8
4,M6R1V0_OR,R1,OR,1
5,M6R1V0_OR,R1,OR,1
6,M6R1V0_OR,R1,OR,0.8
7,M6R1V0_OR,R1,OR,1
8,M6R1V0_OR,R1,OR,1
9,M6R1V0_OR,R1,OR,1
10,M6R1V0_OR,R1,OR,1
11,M6R1V0_OR,R1,OR,1
12,M6R1V0_OR,R1,OR,0.4
13,M6R1V0_OR,R1,OR,1
14,M6R1V0_OR,R1,OR,0.4
15,M6R1V0_OR,R1,OR,1
16,M6R1V0_OR,R1,OR,1
17,M6R1V0_OR,R1,OR,1
18,M6R1V0_OR,R1,OR,0.8
19,M6R1V0_OR,R1,OR,1
20,M6R1V0_OR,R1,OR,1
21,M6R1V0_OR,R1,OR,1
22,M6R1V0_OR,R1,OR,1
23,M6R1V0_OR,R1,OR,1
24,M6R1V0_OR,R1,OR,1
25,M6R1V0_OR,R1,OR,1
26,M6R1V0_OR,R1,OR,1
27,M6R1V0_OR,R1,OR,1
28,M6R1V0_OR,R1,OR,1
29,M6R1V0_OR,R1,OR,1
30,M6R1V0_OR,R1,OR,1
1,M6R1V1_CCC,R1,CCC,1
2,M6R1V1_CCC,R1,CCC,1
3,M6R1V1_CCC,R1,CCC,0.4
4,M6R1V1_CCC,R1,CCC,1
5,M6R1V1_CCC,R1,CCC,1
6,M6R1V1_CCC,R1,CCC,1
7,M6R1V1_CCC,R1,CCC,1
8,M6R1V1_CCC,R1,CCC,1
9,M6R1V1_CCC,R1,CCC,1
10,M6R1V1_CCC,R1,CCC,1
11,M6R1V1_CCC,R1,CCC,1
12,M6R1V1_CCC,R1,CCC,0.4
13,M6R1V1_CCC,R1,CCC,0.4
14,M6R1V1_CCC,R1,CCC,0
15,M6R1V1_CCC,R1,CCC,0.4
16,M6R1V1_CCC,R1,CCC,1
17,M6R1V1_CCC,R1,CCC,1
18,M6R1V1_CCC,R1,CCC,1
19,M6R1V1_CCC,R1,CCC,0.2
20,M6R1V1_CCC,R1,CCC,0.4
21,M6R1V1_CCC,R1,CCC,1
22,M6R1V1_CCC,R1,CCC,1
23,M6R1V1_CCC,R1,CCC,1
24,M6R1V1_CCC,R1,CCC,0.8
25,M6R1V1_CCC,R1,CCC,1
26,M6R1V1_CCC,R1,CCC,1
27,M6R1V1_CCC,R1,CCC,0.6
28,M6R1V1_CCC,R1,CCC,1
29,M6R1V1_CCC,R1,CCC,1
30,M6R1V1_CCC,R1,CCC,NA
1,M6R1V2_OCTCCC,R1,OCTCCC,0.2
2,M6R1V2_OCTCCC,R1,OCTCCC,1
3,M6R1V2_OCTCCC,R1,OCTCCC,1
4,M6R1V2_OCTCCC,R1,OCTCCC,0.5
5,M6R1V2_OCTCCC,R1,OCTCCC,0.4
6,M6R1V2_OCTCCC,R1,OCTCCC,0.25
7,M6R1V2_OCTCCC,R1,OCTCCC,1
8,M6R1V2_OCTCCC,R1,OCTCCC,0.25
9,M6R1V2_OCTCCC,R1,OCTCCC,1
10,M6R1V2_OCTCCC,R1,OCTCCC,1
11,M6R1V2_OCTCCC,R1,OCTCCC,0.4
12,M6R1V2_OCTCCC,R1,OCTCCC,0.4
13,M6R1V2_OCTCCC,R1,OCTCCC,0.2
14,M6R1V2_OCTCCC,R1,OCTCCC,1
15,M6R1V2_OCTCCC,R1,OCTCCC,1
16,M6R1V2_OCTCCC,R1,OCTCCC,1
17,M6R1V2_OCTCCC,R1,OCTCCC,0.25
18,M6R1V2_OCTCCC,R1,OCTCCC,NA
19,M6R1V2_OCTCCC,R1,OCTCCC,1
20,M6R1V2_OCTCCC,R1,OCTCCC,NA
21,M6R1V2_OCTCCC,R1,OCTCCC,1
22,M6R1V2_OCTCCC,R1,OCTCCC,0.4
23,M6R1V2_OCTCCC,R1,OCTCCC,1
24,M6R1V2_OCTCCC,R1,OCTCCC,0.4
25,M6R1V2_OCTCCC,R1,OCTCCC,0.25
26,M6R1V2_OCTCCC,R1,OCTCCC,NA
27,M6R1V2_OCTCCC,R1,OCTCCC,0.2
28,M6R1V2_OCTCCC,R1,OCTCCC,1
29,M6R1V2_OCTCCC,R1,OCTCCC,NA
30,M6R1V2_OCTCCC,R1,OCTCCC,1
