observation,code,regex,refactoring,accuracy
1,M1R0V0_CCC,R0,CCC,0.4
2,M1R0V0_CCC,R0,CCC,0
3,M1R0V0_CCC,R0,CCC,1
4,M1R0V0_CCC,R0,CCC,1
5,M1R0V0_CCC,R0,CCC,0.4
6,M1R0V0_CCC,R0,CCC,0
7,M1R0V0_CCC,R0,CCC,1
8,M1R0V0_CCC,R0,CCC,1
9,M1R0V0_CCC,R0,CCC,1
10,M1R0V0_CCC,R0,CCC,1
11,M1R0V0_CCC,R0,CCC,1
12,M1R0V0_CCC,R0,CCC,0.75
13,M1R0V0_CCC,R0,CCC,0.6
14,M1R0V0_CCC,R0,CCC,0.6
15,M1R0V0_CCC,R0,CCC,0
16,M1R0V0_CCC,R0,CCC,0
17,M1R0V0_CCC,R0,CCC,1
18,M1R0V0_CCC,R0,CCC,1
19,M1R0V0_CCC,R0,CCC,1
20,M1R0V0_CCC,R0,CCC,1
21,M1R0V0_CCC,R0,CCC,0.4
22,M1R0V0_CCC,R0,CCC,1
23,M1R0V0_CCC,R0,CCC,1
24,M1R0V0_CCC,R0,CCC,1
25,M1R0V0_CCC,R0,CCC,0
26,M1R0V0_CCC,R0,CCC,0
27,M1R0V0_CCC,R0,CCC,1
28,M1R0V0_CCC,R0,CCC,0.2
29,M1R0V0_CCC,R0,CCC,0
30,M1R0V0_CCC,R0,CCC,1
1,M1R0V1_DEFAULT,R0,DEFAULT,0.6
2,M1R0V1_DEFAULT,R0,DEFAULT,0
3,M1R0V1_DEFAULT,R0,DEFAULT,1
4,M1R0V1_DEFAULT,R0,DEFAULT,0.5
5,M1R0V1_DEFAULT,R0,DEFAULT,0.8
6,M1R0V1_DEFAULT,R0,DEFAULT,0
7,M1R0V1_DEFAULT,R0,DEFAULT,1
8,M1R0V1_DEFAULT,R0,DEFAULT,0.4
9,M1R0V1_DEFAULT,R0,DEFAULT,0.6
10,M1R0V1_DEFAULT,R0,DEFAULT,0.6
11,M1R0V1_DEFAULT,R0,DEFAULT,1
12,M1R0V1_DEFAULT,R0,DEFAULT,1
13,M1R0V1_DEFAULT,R0,DEFAULT,0.2
14,M1R0V1_DEFAULT,R0,DEFAULT,1
15,M1R0V1_DEFAULT,R0,DEFAULT,0.4
16,M1R0V1_DEFAULT,R0,DEFAULT,0
17,M1R0V1_DEFAULT,R0,DEFAULT,0.8
18,M1R0V1_DEFAULT,R0,DEFAULT,1
19,M1R0V1_DEFAULT,R0,DEFAULT,0.4
20,M1R0V1_DEFAULT,R0,DEFAULT,0
21,M1R0V1_DEFAULT,R0,DEFAULT,0
22,M1R0V1_DEFAULT,R0,DEFAULT,1
23,M1R0V1_DEFAULT,R0,DEFAULT,0.6
24,M1R0V1_DEFAULT,R0,DEFAULT,1
25,M1R0V1_DEFAULT,R0,DEFAULT,0.6
26,M1R0V1_DEFAULT,R0,DEFAULT,1
27,M1R0V1_DEFAULT,R0,DEFAULT,0.4
28,M1R0V1_DEFAULT,R0,DEFAULT,0.4
29,M1R0V1_DEFAULT,R0,DEFAULT,1
30,M1R0V1_DEFAULT,R0,DEFAULT,1
1,M1R1V0_CCC,R1,CCC,0.6
2,M1R1V0_CCC,R1,CCC,0
3,M1R1V0_CCC,R1,CCC,0.4
4,M1R1V0_CCC,R1,CCC,1
5,M1R1V0_CCC,R1,CCC,0.25
6,M1R1V0_CCC,R1,CCC,1
7,M1R1V0_CCC,R1,CCC,0.6
8,M1R1V0_CCC,R1,CCC,0
9,M1R1V0_CCC,R1,CCC,0
10,M1R1V0_CCC,R1,CCC,0.6
11,M1R1V0_CCC,R1,CCC,0.4
12,M1R1V0_CCC,R1,CCC,1
13,M1R1V0_CCC,R1,CCC,1
14,M1R1V0_CCC,R1,CCC,1
15,M1R1V0_CCC,R1,CCC,1
16,M1R1V0_CCC,R1,CCC,0
17,M1R1V0_CCC,R1,CCC,0
18,M1R1V0_CCC,R1,CCC,0
19,M1R1V0_CCC,R1,CCC,1
20,M1R1V0_CCC,R1,CCC,0.4
21,M1R1V0_CCC,R1,CCC,1
22,M1R1V0_CCC,R1,CCC,1
23,M1R1V0_CCC,R1,CCC,0.75
24,M1R1V0_CCC,R1,CCC,1
25,M1R1V0_CCC,R1,CCC,1
26,M1R1V0_CCC,R1,CCC,0
27,M1R1V0_CCC,R1,CCC,0
28,M1R1V0_CCC,R1,CCC,1
29,M1R1V0_CCC,R1,CCC,0.4
30,M1R1V0_CCC,R1,CCC,1
1,M1R1V1_DEFAULT,R1,DEFAULT,0.6
2,M1R1V1_DEFAULT,R1,DEFAULT,0.4
3,M1R1V1_DEFAULT,R1,DEFAULT,1
4,M1R1V1_DEFAULT,R1,DEFAULT,1
5,M1R1V1_DEFAULT,R1,DEFAULT,0.4
6,M1R1V1_DEFAULT,R1,DEFAULT,0.4
7,M1R1V1_DEFAULT,R1,DEFAULT,0.4
8,M1R1V1_DEFAULT,R1,DEFAULT,1
9,M1R1V1_DEFAULT,R1,DEFAULT,1
10,M1R1V1_DEFAULT,R1,DEFAULT,0.4
11,M1R1V1_DEFAULT,R1,DEFAULT,1
12,M1R1V1_DEFAULT,R1,DEFAULT,1
13,M1R1V1_DEFAULT,R1,DEFAULT,1
14,M1R1V1_DEFAULT,R1,DEFAULT,1
15,M1R1V1_DEFAULT,R1,DEFAULT,1
16,M1R1V1_DEFAULT,R1,DEFAULT,1
17,M1R1V1_DEFAULT,R1,DEFAULT,0.6
18,M1R1V1_DEFAULT,R1,DEFAULT,0.4
19,M1R1V1_DEFAULT,R1,DEFAULT,0.8
20,M1R1V1_DEFAULT,R1,DEFAULT,1
21,M1R1V1_DEFAULT,R1,DEFAULT,0.4
22,M1R1V1_DEFAULT,R1,DEFAULT,0
23,M1R1V1_DEFAULT,R1,DEFAULT,0
24,M1R1V1_DEFAULT,R1,DEFAULT,1
25,M1R1V1_DEFAULT,R1,DEFAULT,0.8
26,M1R1V1_DEFAULT,R1,DEFAULT,1
27,M1R1V1_DEFAULT,R1,DEFAULT,1
28,M1R1V1_DEFAULT,R1,DEFAULT,1
29,M1R1V1_DEFAULT,R1,DEFAULT,1
30,M1R1V1_DEFAULT,R1,DEFAULT,0.4
1,M1R2V0_CCC,R2,CCC,1
2,M1R2V0_CCC,R2,CCC,0.6
3,M1R2V0_CCC,R2,CCC,0.4
4,M1R2V0_CCC,R2,CCC,0.6
5,M1R2V0_CCC,R2,CCC,1
6,M1R2V0_CCC,R2,CCC,1
7,M1R2V0_CCC,R2,CCC,1
8,M1R2V0_CCC,R2,CCC,1
9,M1R2V0_CCC,R2,CCC,0.6
10,M1R2V0_CCC,R2,CCC,0.6666666667
11,M1R2V0_CCC,R2,CCC,0.6
12,M1R2V0_CCC,R2,CCC,1
13,M1R2V0_CCC,R2,CCC,1
14,M1R2V0_CCC,R2,CCC,1
15,M1R2V0_CCC,R2,CCC,1
16,M1R2V0_CCC,R2,CCC,1
17,M1R2V0_CCC,R2,CCC,NA
18,M1R2V0_CCC,R2,CCC,0.6
19,M1R2V0_CCC,R2,CCC,0.6
20,M1R2V0_CCC,R2,CCC,1
21,M1R2V0_CCC,R2,CCC,0.6
22,M1R2V0_CCC,R2,CCC,0.8
23,M1R2V0_CCC,R2,CCC,1
24,M1R2V0_CCC,R2,CCC,0.6
25,M1R2V0_CCC,R2,CCC,0.8
26,M1R2V0_CCC,R2,CCC,0.6
27,M1R2V0_CCC,R2,CCC,1
28,M1R2V0_CCC,R2,CCC,1
29,M1R2V0_CCC,R2,CCC,1
30,M1R2V0_CCC,R2,CCC,1
1,M1R2V1_DEFAULT,R2,DEFAULT,1
2,M1R2V1_DEFAULT,R2,DEFAULT,NA
3,M1R2V1_DEFAULT,R2,DEFAULT,1
4,M1R2V1_DEFAULT,R2,DEFAULT,0.8
5,M1R2V1_DEFAULT,R2,DEFAULT,1
6,M1R2V1_DEFAULT,R2,DEFAULT,1
7,M1R2V1_DEFAULT,R2,DEFAULT,1
8,M1R2V1_DEFAULT,R2,DEFAULT,1
9,M1R2V1_DEFAULT,R2,DEFAULT,0.8
10,M1R2V1_DEFAULT,R2,DEFAULT,0.8
11,M1R2V1_DEFAULT,R2,DEFAULT,1
12,M1R2V1_DEFAULT,R2,DEFAULT,1
13,M1R2V1_DEFAULT,R2,DEFAULT,1
14,M1R2V1_DEFAULT,R2,DEFAULT,1
15,M1R2V1_DEFAULT,R2,DEFAULT,1
16,M1R2V1_DEFAULT,R2,DEFAULT,1
17,M1R2V1_DEFAULT,R2,DEFAULT,0.4
18,M1R2V1_DEFAULT,R2,DEFAULT,1
19,M1R2V1_DEFAULT,R2,DEFAULT,0.6
20,M1R2V1_DEFAULT,R2,DEFAULT,1
21,M1R2V1_DEFAULT,R2,DEFAULT,0.8
22,M1R2V1_DEFAULT,R2,DEFAULT,1
23,M1R2V1_DEFAULT,R2,DEFAULT,0.8
24,M1R2V1_DEFAULT,R2,DEFAULT,1
25,M1R2V1_DEFAULT,R2,DEFAULT,0.8
26,M1R2V1_DEFAULT,R2,DEFAULT,1
27,M1R2V1_DEFAULT,R2,DEFAULT,1
