M7R0V0_WRD	M7R0V1_CCCRNG
NA	1.0
0.4	0.8
0.8	1.0
0.8	0.6
0.8	0.2
0.8	0.6
0.8	1.0
1.0	0.5
0.6	1.0
0.8	1.0
0.8	1.0
0.8	1.0
0.8	1.0
NA	1.0
1.0	0.75
1.0	0.8
0.8	0.5
1.0	1.0
NA	0.8
0.8	0.6
1.0	0.6
1.0	1.0
0.8	0.8
0.75	0.6
0.6	1.0
1.0	1.0
0.75	NA
0.8	1.0
1.0	0.8
0.8	0.8
