M9R2V0_CCC	M9R2V1_LIT
0.5	0.8
1.0	0.8
1.0	0.25
0.8	1.0
1.0	1.0
1.0	1.0
0.75	NA
1.0	1.0
1.0	1.0
0.8	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.8	0.6
1.0	1.0
0.8	1.0
1.0	1.0
0.4	0.8
1.0	1.0
1.0	1.0
0.75	1.0
1.0	1.0
1.0	1.0
0.8	1.0
1.0	1.0
0.8	0.8
0.8	1.0
0.8	1.0
