M1R0V0_CCC	M1R0V1_DEFAULT
0.4	0.6
0.0	0.0
1.0	1.0
1.0	0.5
0.4	0.8
0.0	0.0
1.0	1.0
1.0	0.4
1.0	0.6
1.0	0.6
1.0	1.0
0.75	1.0
0.6	0.2
0.6	1.0
0.0	0.4
0.0	0.0
1.0	0.8
1.0	1.0
1.0	0.4
1.0	0.0
0.4	0.0
1.0	1.0
1.0	0.6
1.0	1.0
0.0	0.6
0.0	1.0
1.0	0.4
0.2	0.4
0.0	1.0
1.0	1.0
