M9R1V0_CCC	M9R1V1_LIT
1.0	1.0
1.0	1.0
1.0	0.8
1.0	0.8
1.0	1.0
1.0	1.0
1.0	1.0
1.0	0.6
0.8	1.0
1.0	1.0
1.0	1.0
0.8	1.0
0.8	0.5
1.0	0.8
1.0	1.0
1.0	1.0
0.8	0.6
0.8	0.75
1.0	1.0
1.0	1.0
1.0	0.8
0.8	0.6
0.8	1.0
0.8	1.0
1.0	0.8
1.0	1.0
0.8	0.75
1.0	1.0
1.0	1.0
1.0	0.8
