M7R2V0_WRD	M7R2V1_CCCRNG
0.2	0.5
0.8	1.0
1.0	1.0
0.8	1.0
0.4	1.0
0.4	0.75
1.0	1.0
1.0	0.8
1.0	0.8
0.8	1.0
1.0	0.8
1.0	1.0
1.0	0.8
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.8	1.0
1.0	0.8
1.0	1.0
0.8	0.8
1.0	0.8
1.0	1.0
0.5	0.8
1.0	0.6
1.0	1.0
0.5	1.0
1.0	0.5
0.8	1.0
1.0	1.0
