M1R2V0_CCC	M1R2V1_DEFAULT
1.0	1.0
0.6	NA
0.4	1.0
0.6	0.8
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.6	0.8
0.6666666667	0.8
0.6	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
NA	0.4
0.6	1.0
0.6	0.6
1.0	1.0
0.6	0.8
0.8	1.0
1.0	0.8
0.6	1.0
0.8	0.8
0.6	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
