regex,refactoring,accuracy
R0,HEXRNG,0.00
R0,HEXRNG,0.00
R0,HEXRNG,0.00
R0,HEXRNG,0.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,0.00
R0,HEXRNG,0.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,0.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,0.00
R0,HEXRNG,1.00
R0,HEXRNG,0.00
R0,HEXRNG,0.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R0,HEXRNG,0.00
R0,HEXRNG,1.00
R0,HEXRNG,0.00
R0,HEXRNG,1.00
R0,HEXRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,0.00
R1,OCTRNG,0.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,0.00
R1,OCTRNG,0.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,0.00
R1,OCTRNG,0.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,0.00
R1,OCTRNG,0.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,1.00
R1,OCTRNG,0.00
R1,OCTRNG,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,OCTRNG,1.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,OCTRNG,1.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,OCTRNG,0.00
R0,OCTRNG,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R1,HEXRNG,1.00
R1,HEXRNG,0.00
R1,HEXRNG,0.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,0.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,0.00
R1,HEXRNG,0.00
R1,HEXRNG,0.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,0.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,0.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,1.00
R1,HEXRNG,0.00
