regex,refactoring,accuracy
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R1,OR,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,1.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,1.00
R0,OCTCCC,1.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,1.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OCTCCC,1.00
R0,OCTCCC,0.00
R0,OCTCCC,1.00
R0,OCTCCC,1.00
R0,OCTCCC,0.00
R0,OCTCCC,0.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,0.00
R0,OR,1.00
R0,OR,1.00
R0,OR,0.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R0,OR,1.00
R1,OCTCCC,0.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,1.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,1.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,0.00
R1,OCTCCC,0.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,OCTCCC,0.00
R1,OCTCCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
