regex,refactoring,accuracy
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,0.00
R2,CC_SNG,1.00
R2,CC_SNG,0.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,1.00
R2,CC_SNG,0.00
R2,CC_SNG,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,0.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,0.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R2,CC_SEQ,0.00
R2,CC_SEQ,1.00
R2,CC_SEQ,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,0.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,0.00
R0,CC_SNG,1.00
R0,CC_SNG,0.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,0.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R0,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,0.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,0.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,0.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,0.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SNG,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,0.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,0.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,0.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R1,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,0.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,0.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,0.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
R0,CC_SEQ,1.00
