code	value
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	0.8
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	0.8
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	0.4
M6R1V0_OR	1.0
M6R1V0_OR	0.4
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	0.8
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V0_OR	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	0.4
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	0.4
M6R1V1_CCC	0.4
M6R1V1_CCC	0.0
M6R1V1_CCC	0.4
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	0.2
M6R1V1_CCC	0.4
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	0.8
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	0.6
M6R1V1_CCC	1.0
M6R1V1_CCC	1.0
M6R1V1_CCC	NaN
M6R1V2_OCTCCC	0.2
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	0.5
M6R1V2_OCTCCC	0.4
M6R1V2_OCTCCC	0.25
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	0.25
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	0.4
M6R1V2_OCTCCC	0.4
M6R1V2_OCTCCC	0.2
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	0.25
M6R1V2_OCTCCC	NaN
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	NaN
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	0.4
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	0.4
M6R1V2_OCTCCC	0.25
M6R1V2_OCTCCC	NaN
M6R1V2_OCTCCC	0.2
M6R1V2_OCTCCC	1.0
M6R1V2_OCTCCC	NaN
M6R1V2_OCTCCC	1.0
