code	value
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	0.75
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	NaN
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	0.8
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	0.6
M3R1V0_OCTRNG	0.25
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	NaN
M3R1V0_OCTRNG	0.8
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	1.0
M3R1V0_OCTRNG	0.0
M3R1V0_OCTRNG	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	0.8
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	0.8
M3R1V1_CCC	0.8
M3R1V1_CCC	0.8
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	0.8
M3R1V1_CCC	0.8
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	0.5
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V1_CCC	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	0.6
M3R1V2_HEXRNG	NaN
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	NaN
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	0.5
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	0.8
M3R1V2_HEXRNG	NaN
M3R1V2_HEXRNG	0.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	NaN
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	0.8
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	0.3333333333
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
M3R1V2_HEXRNG	1.0
