C1,T4	C2,T1
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
1.0	1.0
1.0	1.0
0.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
1.0	1.0
0.0	1.0
1.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
1.0	1.0
0.0	1.0
0.0	0.0
0.0	1.0
0.0	1.0
1.0	1.0
1.0	1.0
0.0	1.0
1.0	0.0
0.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.0	1.0
0.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.0	1.0
0.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.0	1.0
0.0	1.0
1.0	1.0
1.0	1.0
0.0	0.0
0.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	0.0
1.0	1.0
1.0	1.0
1.0	1.0
0.0	1.0
1.0	1.0
