C1,T2	C2,T1
0.6	0.6
0.6	0.3333333333
0.6	1.0
1.0	1.0
1.0	0.6
1.0	0.6
1.0	0.5
1.0	0.6
0.6	0.8
0.8	1.0
1.0	1.0
0.8	0.6
1.0	1.0
1.0	0.6
1.0	0.5
0.6	0.6
0.2	0.6
1.0	1.0
0.6	0.8
0.2	1.0
0.6	1.0
0.6	0.6
0.6	1.0
1.0	1.0
1.0	0.6
0.4	0.8
0.8	1.0
1.0	0.6
1.0	1.0
1.0	1.0
1.0	1.0
0.6	1.0
NaN	1.0
1.0	1.0
1.0	1.0
NaN	1.0
1.0	1.0
0.5	1.0
1.0	1.0
0.8	0.8
NaN	1.0
0.0	1.0
1.0	0.8
1.0	0.8
1.0	0.8
1.0	1.0
1.0	1.0
NaN	1.0
1.0	1.0
0.8	1.0
1.0	0.8
1.0	0.8
0.3333333333	1.0
1.0	1.0
1.0	0.5
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
