Age,Education,Familiarity,Gender,Experience,cleanNComposed,cleanNRead
44,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,5,5
36,Bachelors degree,Somewhat familiar,Female,Yes,5,0
25,Bachelors degree,Very familiar,Male,Yes,25,50
51,Graduate degree (Masters Doctorate etc.),Very familiar,Male,Yes,5,2
26,Bachelors degree,Somewhat familiar,Male,Yes,1000,1000
62,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,20,20
20,Associates degree,Somewhat familiar,Male,Yes,10,8
31,Bachelors degree,Somewhat familiar,Female,No,50,50
34,Bachelors degree,Somewhat familiar,Male,Yes,5,10
32,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Female,Yes,1,1
22,Some college no degree,Somewhat not familiar,Male,Yes,1,1
27,Some college no degree,Somewhat familiar,Male,No,3,10
28,Associates degree,Somewhat familiar,Male,Yes,NA,NA
28,Associates degree,Somewhat familiar,Male,No,10,10
30,Bachelors degree,Somewhat familiar,Male,Yes,30,20
28,Bachelors degree,Somewhat familiar,Female,No,0,20
23,Bachelors degree,Somewhat familiar,Male,Yes,10,20
23,Graduate degree (Masters Doctorate etc.),Somewhat familiar,Male,Yes,100,100
42,Graduate degree (Masters Doctorate etc.),Very familiar,Male,Yes,100,50
28,Associates degree,Somewhat familiar,Male,Yes,2,10
30,Some college no degree,Somewhat not familiar,Male,Yes,0,50
41,Bachelors degree,Somewhat familiar,Male,Yes,10,100
39,Bachelors degree,Somewhat familiar,Male,Yes,2,2
24,Bachelors degree,Somewhat familiar,Male,Yes,200,500
21,Some college no degree,Somewhat familiar,Male,Yes,15,50
31,Bachelors degree,Very familiar,Male,Yes,300,500
20,Some college no degree,Somewhat familiar,Male,Yes,100,200
42,Graduate degree (Masters Doctorate etc.),Very familiar,Male,Yes,1000,1000
26,Bachelors degree,Somewhat familiar,Male,Yes,25,30
24,Bachelors degree,Somewhat familiar,Male,Yes,100,1000
38,Some college no degree,Somewhat familiar,Female,Yes,1,10
33,Bachelors degree,Somewhat familiar,Male,Yes,0,60
