observation,string,abstract,node,accuracy
16,M0R1V1_CC_SNG,A2,S1,1
17,M0R1V1_CC_SNG,A2,S1,1
18,M0R1V1_CC_SNG,A2,S1,0.8
19,M0R1V1_CC_SNG,A2,S1,1
20,M0R1V1_CC_SNG,A2,S1,1
21,M0R1V1_CC_SNG,A2,S1,1
22,M0R1V1_CC_SNG,A2,S1,1
23,M0R1V1_CC_SNG,A2,S1,1
24,M0R1V1_CC_SNG,A2,S1,1
25,M0R1V1_CC_SNG,A2,S1,1
26,M0R1V1_CC_SNG,A2,S1,1
27,M0R1V1_CC_SNG,A2,S1,0.3333333333
28,M0R1V1_CC_SNG,A2,S1,1
29,M0R1V1_CC_SNG,A2,S1,1
30,M0R1V1_CC_SNG,A2,S1,1
1,M0R2V0_CC_SEQ,A3,S2,1
2,M0R2V0_CC_SEQ,A3,S2,0.6
3,M0R2V0_CC_SEQ,A3,S2,1
4,M0R2V0_CC_SEQ,A3,S2,1
5,M0R2V0_CC_SEQ,A3,S2,1
6,M0R2V0_CC_SEQ,A3,S2,1
7,M0R2V0_CC_SEQ,A3,S2,0.8
8,M0R2V0_CC_SEQ,A3,S2,1
9,M0R2V0_CC_SEQ,A3,S2,0.8
10,M0R2V0_CC_SEQ,A3,S2,1
11,M0R2V0_CC_SEQ,A3,S2,1
12,M0R2V0_CC_SEQ,A3,S2,1
13,M0R2V0_CC_SEQ,A3,S2,1
14,M0R2V0_CC_SEQ,A3,S2,0.6
15,M0R2V0_CC_SEQ,A3,S2,0.8
16,M0R2V0_CC_SEQ,A3,S2,1
17,M0R2V0_CC_SEQ,A3,S2,1
18,M0R2V0_CC_SEQ,A3,S2,1
19,M0R2V0_CC_SEQ,A3,S2,0.6
20,M0R2V0_CC_SEQ,A3,S2,0.6
21,M0R2V0_CC_SEQ,A3,S2,0.8
22,M0R2V0_CC_SEQ,A3,S2,1
23,M0R2V0_CC_SEQ,A3,S2,0.6
24,M0R2V0_CC_SEQ,A3,S2,1
25,M0R2V0_CC_SEQ,A3,S2,1
26,M0R2V0_CC_SEQ,A3,S2,1
27,M0R2V0_CC_SEQ,A3,S2,0.8
28,M0R2V0_CC_SEQ,A3,S2,0.4
29,M0R2V0_CC_SEQ,A3,S2,1
30,M0R2V0_CC_SEQ,A3,S2,1
1,M0R2V1_CC_SNG,A3,S1,0.6
2,M0R2V1_CC_SNG,A3,S1,1
3,M0R2V1_CC_SNG,A3,S1,1
4,M0R2V1_CC_SNG,A3,S1,0.8
5,M0R2V1_CC_SNG,A3,S1,0
6,M0R2V1_CC_SNG,A3,S1,1
7,M0R2V1_CC_SNG,A3,S1,1
8,M0R2V1_CC_SNG,A3,S1,1
9,M0R2V1_CC_SNG,A3,S1,1
10,M0R2V1_CC_SNG,A3,S1,0.8
11,M0R2V1_CC_SNG,A3,S1,1
12,M0R2V1_CC_SNG,A3,S1,1
13,M0R2V1_CC_SNG,A3,S1,0.75
14,M0R2V1_CC_SNG,A3,S1,1
15,M0R2V1_CC_SNG,A3,S1,0.4
16,M0R2V1_CC_SNG,A3,S1,1
17,M0R2V1_CC_SNG,A3,S1,1
18,M0R2V1_CC_SNG,A3,S1,0.8
19,M0R2V1_CC_SNG,A3,S1,1
20,M0R2V1_CC_SNG,A3,S1,0.4
21,M0R2V1_CC_SNG,A3,S1,1
22,M0R2V1_CC_SNG,A3,S1,1
23,M0R2V1_CC_SNG,A3,S1,1
24,M0R2V1_CC_SNG,A3,S1,1
25,M0R2V1_CC_SNG,A3,S1,1
26,M0R2V1_CC_SNG,A3,S1,1
27,M0R2V1_CC_SNG,A3,S1,1
28,M0R2V1_CC_SNG,A3,S1,1
29,M0R2V1_CC_SNG,A3,S1,0.6
30,M0R2V1_CC_SNG,A3,S1,1
1,M1R0V0_CCC,A4,C3,0.4
2,M1R0V0_CCC,A4,C3,0
3,M1R0V0_CCC,A4,C3,1
4,M1R0V0_CCC,A4,C3,1
5,M1R0V0_CCC,A4,C3,0.4
6,M1R0V0_CCC,A4,C3,0
7,M1R0V0_CCC,A4,C3,1
8,M1R0V0_CCC,A4,C3,1
9,M1R0V0_CCC,A4,C3,1
10,M1R0V0_CCC,A4,C3,1
11,M1R0V0_CCC,A4,C3,1
12,M1R0V0_CCC,A4,C3,0.75
13,M1R0V0_CCC,A4,C3,0.6
14,M1R0V0_CCC,A4,C3,0.6
15,M1R0V0_CCC,A4,C3,0
16,M1R0V0_CCC,A4,C3,0
17,M1R0V0_CCC,A4,C3,1
18,M1R0V0_CCC,A4,C3,1
19,M1R0V0_CCC,A4,C3,1
20,M1R0V0_CCC,A4,C3,1
21,M1R0V0_CCC,A4,C3,0.4
22,M1R0V0_CCC,A4,C3,1
23,M1R0V0_CCC,A4,C3,1
24,M1R0V0_CCC,A4,C3,1
25,M1R0V0_CCC,A4,C3,0
26,M1R0V0_CCC,A4,C3,0
27,M1R0V0_CCC,A4,C3,1
28,M1R0V0_CCC,A4,C3,0.2
29,M1R0V0_CCC,A4,C3,0
30,M1R0V0_CCC,A4,C3,1
1,M1R0V1_DEFAULT,A4,C4,0.6
2,M1R0V1_DEFAULT,A4,C4,0
3,M1R0V1_DEFAULT,A4,C4,1
4,M1R0V1_DEFAULT,A4,C4,0.5
5,M1R0V1_DEFAULT,A4,C4,0.8
6,M1R0V1_DEFAULT,A4,C4,0
7,M1R0V1_DEFAULT,A4,C4,1
8,M1R0V1_DEFAULT,A4,C4,0.4
9,M1R0V1_DEFAULT,A4,C4,0.6
10,M1R0V1_DEFAULT,A4,C4,0.6
11,M1R0V1_DEFAULT,A4,C4,1
12,M1R0V1_DEFAULT,A4,C4,1
13,M1R0V1_DEFAULT,A4,C4,0.2
14,M1R0V1_DEFAULT,A4,C4,1
15,M1R0V1_DEFAULT,A4,C4,0.4
16,M1R0V1_DEFAULT,A4,C4,0
17,M1R0V1_DEFAULT,A4,C4,0.8
18,M1R0V1_DEFAULT,A4,C4,1
19,M1R0V1_DEFAULT,A4,C4,0.4
20,M1R0V1_DEFAULT,A4,C4,0
21,M1R0V1_DEFAULT,A4,C4,0
22,M1R0V1_DEFAULT,A4,C4,1
23,M1R0V1_DEFAULT,A4,C4,0.6
24,M1R0V1_DEFAULT,A4,C4,1
25,M1R0V1_DEFAULT,A4,C4,0.6
26,M1R0V1_DEFAULT,A4,C4,1
27,M1R0V1_DEFAULT,A4,C4,0.4
28,M1R0V1_DEFAULT,A4,C4,0.4
29,M1R0V1_DEFAULT,A4,C4,1
30,M1R0V1_DEFAULT,A4,C4,1
1,M1R1V0_CCC,A5,C3,0.6
2,M1R1V0_CCC,A5,C3,0
3,M1R1V0_CCC,A5,C3,0.4
4,M1R1V0_CCC,A5,C3,1
5,M1R1V0_CCC,A5,C3,0.25
6,M1R1V0_CCC,A5,C3,1
7,M1R1V0_CCC,A5,C3,0.6
8,M1R1V0_CCC,A5,C3,0
9,M1R1V0_CCC,A5,C3,0
10,M1R1V0_CCC,A5,C3,0.6
11,M1R1V0_CCC,A5,C3,0.4
12,M1R1V0_CCC,A5,C3,1
13,M1R1V0_CCC,A5,C3,1
14,M1R1V0_CCC,A5,C3,1
15,M1R1V0_CCC,A5,C3,1
16,M1R1V0_CCC,A5,C3,0
17,M1R1V0_CCC,A5,C3,0
18,M1R1V0_CCC,A5,C3,0
19,M1R1V0_CCC,A5,C3,1
20,M1R1V0_CCC,A5,C3,0.4
21,M1R1V0_CCC,A5,C3,1
22,M1R1V0_CCC,A5,C3,1
23,M1R1V0_CCC,A5,C3,0.75
24,M1R1V0_CCC,A5,C3,1
25,M1R1V0_CCC,A5,C3,1
26,M1R1V0_CCC,A5,C3,0
27,M1R1V0_CCC,A5,C3,0
28,M1R1V0_CCC,A5,C3,1
29,M1R1V0_CCC,A5,C3,0.4
30,M1R1V0_CCC,A5,C3,1
1,M1R1V1_DEFAULT,A5,C4,0.6
2,M1R1V1_DEFAULT,A5,C4,0.4
3,M1R1V1_DEFAULT,A5,C4,1
4,M1R1V1_DEFAULT,A5,C4,1
5,M1R1V1_DEFAULT,A5,C4,0.4
6,M1R1V1_DEFAULT,A5,C4,0.4
7,M1R1V1_DEFAULT,A5,C4,0.4
8,M1R1V1_DEFAULT,A5,C4,1
9,M1R1V1_DEFAULT,A5,C4,1
10,M1R1V1_DEFAULT,A5,C4,0.4
11,M1R1V1_DEFAULT,A5,C4,1
12,M1R1V1_DEFAULT,A5,C4,1
13,M1R1V1_DEFAULT,A5,C4,1
14,M1R1V1_DEFAULT,A5,C4,1
15,M1R1V1_DEFAULT,A5,C4,1
16,M1R1V1_DEFAULT,A5,C4,1
17,M1R1V1_DEFAULT,A5,C4,0.6
18,M1R1V1_DEFAULT,A5,C4,0.4
19,M1R1V1_DEFAULT,A5,C4,0.8
20,M1R1V1_DEFAULT,A5,C4,1
21,M1R1V1_DEFAULT,A5,C4,0.4
22,M1R1V1_DEFAULT,A5,C4,0
23,M1R1V1_DEFAULT,A5,C4,0
24,M1R1V1_DEFAULT,A5,C4,1
