M0R0V0_CC_SEQ	%([0-9a-fA-F][0-9a-fA-F])'		%([0-9a-fA-F][0-9a-fA-F])'	M0R0V0_CC_SEQ
M0R0V1_CC_SNG	%([0-9A-Fa-f]{2})'		%([0-9A-Fa-f]{2})'	M0R0V1_CC_SNG
M0R1V0_CC_SEQ	&d([aeiou][aeiou])z'		&d([aeiou][aeiou])z'	M0R1V0_CC_SEQ
M0R1V1_CC_SNG	&d([aeiou]{2})z'		&d([aeiou]{2})z'	M0R1V1_CC_SNG
M0R2V0_CC_SEQ	fa[lmnop][lmnop][lmnop]'		fa[lmnop][lmnop][lmnop]'	M0R2V0_CC_SEQ
M0R2V1_CC_SNG	fa[lmnop]{3}'		fa[lmnop]{3}'	M0R2V1_CC_SNG
M1R0V0_CCC	[^0-9A-Za-z]'		[^0-9A-Za-z]'	M1R0V0_CCC
M1R0V1_DEFAULT	[\W_]'		[\W_]'	M1R0V1_DEFAULT
M1R1V0_CCC	[^0-9]'		[^0-9]'	M1R1V0_CCC
M1R1V1_DEFAULT	[\D]'		[\D]'	M1R1V1_DEFAULT
M1R2V0_CCC	[\t\r\f\n ]'		[\t\r\f\n ]'	M1R2V0_CCC
M1R2V1_DEFAULT	[\s]'		[\s]'	M1R2V1_DEFAULT
M2R0V0_RNG	([0-9]+)\.([0-9]+)'		([0-9]+)\.([0-9]+)'	M2R0V0_RNG
M2R0V1_DEC	(\d+)\.(\d+)'		(\d+)\.(\d+)'	M2R0V1_DEC
M2R1V0_RNG	xg1([0-9]{1,3})%'		xg1([0-9]{1,3})%'	M2R1V0_RNG
M2R1V1_DEC	xg1(\d{1,3})%'		xg1(\d{1,3})%'	M2R1V1_DEC
M2R2V0_RNG	[a-f]([0-9]+)[a-f]'		[a-f]([0-9]+)[a-f]'	M2R2V0_RNG
M2R2V1_DEC	[a-f](\d+)[a-f]'		[a-f](\d+)[a-f]'	M2R2V1_DEC
M3R0V0_OCTRNG	xyz[\0133-\0140]'		xyz[\0133-\0140]'	M3R0V0_OCTRNG
M3R0V1_CCC	xyz[_\[\]`\^\\]'		xyz[_\[\]`\^\\]'	M3R0V1_CCC
M3R0V2_HEXRNG	xyz[\x5b-\x5f]'		xyz[\x5b-\x5f]'	M3R0V2_HEXRNG
M3R1V0_OCTRNG	t[\072-\073]+p'		t[\072-\073]+p'	M3R1V0_OCTRNG
M3R1V1_CCC	t[:;]+p'		t[:;]+p'	M3R1V1_CCC
M3R1V2_HEXRNG	t[\x3a-\x3b]+p'		t[\x3a-\x3b]+p'	M3R1V2_HEXRNG
M4R0V0_QST	((q4f)?ab)'		((q4f)?ab)'	M4R0V0_QST
M4R0V1_OR	(q4fab|ab)'		(q4fab|ab)'	M4R0V1_OR
M4R0V2_DBB	((q4f){0,1}ab)'		((q4f){0,1}ab)'	M4R0V2_DBB
M4R1V0_DBB	(dee(do){1,2})'		(dee(do){1,2})'	M4R1V0_DBB
M4R1V1_OR	(deedo|deedodo)'		(deedo|deedodo)'	M4R1V1_OR
M4R1V2_QST	(deedo(do)?)'		(deedo(do)?)'	M4R1V2_QST
M5R0V0_CCC	tri[abcdef]3'		tri[abcdef]3'	M5R0V0_CCC
M5R0V1_RNG	tri[a-f]3'		tri[a-f]3'	M5R0V1_RNG
M5R0V2_OR	tri(a|b|c|d|e|f)3'		tri(a|b|c|d|e|f)3'	M5R0V2_OR
M5R1V0_CCC	no[wxyz]5'		no[wxyz]5'	M5R1V0_CCC
M5R1V1_RNG	no[w-z]5'		no[w-z]5'	M5R1V1_RNG
M5R1V2_OR	no(w|x|y|z)5'		no(w|x|y|z)5'	M5R1V2_OR
M6R0V0_OR	(\{|\})'		(\{|\})'	M6R0V0_OR
M6R0V1_CCC	([}{])'		([}{])'	M6R0V1_CCC
M6R0V2_OCTCCC	([\0175\0173])'		([\0175\0173])'	M6R0V2_OCTCCC
M6R1V0_OR	(:|;)'		(:|;)'	M6R1V0_OR
M6R1V1_CCC	([:;])'		([:;])'	M6R1V1_CCC
M6R1V2_OCTCCC	([\072\073])'		([\072\073])'	M6R1V2_OCTCCC
M7R0V0_WRD	&(\w+);'		&(\w+);'	M7R0V0_WRD
M7R0V1_CCCRNG	&([A-Za-z0-9_]+);'		&([A-Za-z0-9_]+);'	M7R0V1_CCCRNG
M7R1V0_WRD	1q\w\w'		1q\w\w'	M7R1V0_WRD
M7R1V1_CCCRNG	1q[A-Za-z0-9_][A-Za-z0-9_]'		1q[A-Za-z0-9_][A-Za-z0-9_]'	M7R1V1_CCCRNG
M7R2V0_WRD	tuv\w'		tuv\w'	M7R2V0_WRD
M7R2V1_CCCRNG	tuv[A-Za-z0-9_]'		tuv[A-Za-z0-9_]'	M7R2V1_CCCRNG
M8R0V0_SEQKLE	\..*'		\..*'	M8R0V0_SEQKLE
M8R0V1_ADD	\.+'		\.+'	M8R0V1_ADD
M8R1V0_SEQKLE	zaa*'		zaa*'	M8R1V0_SEQKLE
M8R1V1_ADD	za+'		za+'	M8R1V1_ADD
M8R2V0_SEQKLE	RR*'		RR*'	M8R2V0_SEQKLE
M8R2V1_ADD	R+'		R+'	M8R2V1_ADD
M9R0V0_CCC	([$][{])\d+(:[^}]+[}])'		([$][{])\d+(:[^}]+[}])'	M9R0V0_CCC
M9R0V1_LIT	(\$\{)\d+(:[^}]+\})'		(\$\{)\d+(:[^}]+\})'	M9R0V1_LIT
M9R1V0_CCC	t[.][$]+\d+[*]'		t[.][$]+\d+[*]'	M9R1V0_CCC
M9R1V1_LIT	t\.\$+\d+\*'		t\.\$+\d+\*'	M9R1V1_LIT
M9R2V0_CCC	[{][$](\d+[.]\d)[}]'		[{][$](\d+[.]\d)[}]'	M9R2V0_CCC
