'[\x80-\xff]'	12,55,72,73,113,147,181,233,245,247,251,287,288,302,305,323,340,355,381,412,422,436,459,492,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,919,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1263,1269,1292,1328,1364,1469,1495,1498,1501,1505,1509,1511,1517,1535,1580,1594,1634,1638
'[\\x00-\\x1f\\\\"\\b\\f\\n\\r\\t]'	55,113,147,181,233,247,287,288,302,323,355,422,436,507,510,580,594,602,622,729,759,780,849,852,866,878,919,935,961,1004,1007,1012,1015,1032,1033,1054,1078,1086,1087,1122,1158,1184,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'([\x80-\x9f])'	22,38,55,60,64,65,72,94,126,225,273,287,340,472,510,527,602,683,691,707,774,790,873,881,927,928,1068,1122,1150,1169,1199,1269,1300,1469,1498,1509,1557,1580,1592
'^(?:\\s*(?:,\\s*)?([^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+)\\s*=\\s*\\"?((?<=\\")(?:[^\\0-\\x08\\x0A-\\x1f\\x7f-\\xff\\\\\\"]|\\\\[\\0-\\x7f])*?(?=\\")|(?<!\\")[^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+(?!\\"))\\"?)(.*)$'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'.\x08'	12,241,287,412,531,602,759,852,961,1054,1087,1221,1249,1509,1511
'[&<>\\"\\x80-\\xff]+'	12,72,147,245,287,305,602,1239,1248,1317,1382,1501,1505,1509,1638
'[^\t\r\n -~\xa0-\xff]'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'[\\x00-\\x19\\\\"\\b\\f\\n\\r\\t]'	41,82,89,101,200,560,752,1004,1074,1075,1194,1300,1495
'[\\x00\\x01\\x02\\x03\\x04\\x05\\x06\\x07\\x08\\x0b\\x0c\\x0e\\x0f\\x10\\x11\\x12\\x13\\x14\\x15\\x16\\x17\\x18\\x19\\x1a\\x1b\\x1c\\x1d\\x1e\\x1f]'	12,31,287,412,602,759,852,961,1054,1087,1221,1509,1511
'[`\x00- \x7f-\xa0\\s]+'	220,927,959,1122,1263,1276,1290,1469,1580,1594
'[\\x80-\\xFF]'	305,619,927,1292,1399,1431,1439,1469,1505
'([\\x00-\\x7F])+'	305,619,927,1292,1399,1431,1439,1469,1505
'[\\x00-\\x08\\x0b\\x0c\\x0e-\\x1f]'	322,467,505,534,1211,1223,1420,1466,1495
'(\x1b|~{)'	459,927,1263,1292,1469,1535,1580,1594
'[\\x00-\\x20]+'	173,552,574,606,800,1223,1420,1469
'([\x00-\x7f])+'	459,927,1263,1292,1469,1535,1580,1594
'[\n\r\t\x0b\x0c]'	46,147,162,181,251,619,1087,1267
'\x1b\\[(0;3\\d)?m'	416,852,994,1007,1301,1511,1560,1598
'[\\x00-\\x08\\x0e-\\x1f]'	173,465,552,606,800,1223,1420,1469
'[^\\x00-\\x21\\xff]{1,250}$'	992,1104,1257,1386,1415,1469,1536,1580
'\x00'	757,826,1004,1074,1075,1087,1495
'[\\x00-\\x20]'	173,552,606,800,1223,1420,1469
'(.*)\x01(.*)###(.*)$'	12,412,759,852,961,1221,1511
'(?:\x1b\\[([0-9?;]*)([a-zA-Z])|([^\x1b]+))'	322,467,505,534,712,1216,1466
'[\\x00-\\x1f]'	173,381,813,927,1223,1420
'\x01?\x1b\\[(.*?)m\x02?'	18,602,654,747,1216,1365
'\x1b\\[((?:\\d|;)*)([a-zA-Z])'	1263,1290,1580,1594,1612,1633
'Cookie\\:.+\\@([!-\xff]+).*?(.+\\@[!-\xff]+\\.txt)'	225,287,510,602,774,1509
'\\A[\\x00-\\x7f]*\\Z'	433,927,1003,1202,1350
'["&<>]|[^\\x00-\\x7f]'	433,927,1003,1202,1350
'^\x1b#'	385,640,1149,1583
'^\x1b.$'	385,640,1149,1583
'^\x1b\\]'	385,640,1149,1583
'^\x1b\\['	385,640,1149,1583
'([\x0c])'	422,747,1517,1580
'^\x1b[()]'	385,640,1149,1583
'\\x00\\x01'	1004,1074,1075,1495
'^[\x01-\x0f]$'	385,640,1149,1583
'(\\x1b[^m]+m)'	422,747,1517,1580
'([\n\r\t\x08\x07])'	287,602,1509,1580
'(\x1b\\[[0-9;]+VK)'	385,640,1149,1583
'(?i)[\xe1\xe9\xed\xf3\xfa]'	305,1025,1138,1505
'(\x01?\x1b\\[[0-9;]*m\x02?)'	287,602,1509,1580
'(\x01?\x1b\\[[0-9;]+m\x02?)'	287,602,1509,1580
'\x01?\x1b\\[([0-9;]*)m\x02?'	287,602,1509,1580
'\x01?\x1b\\[([0-9;]+)m\x02?'	287,602,1509,1580
'\\\\|\\/|\\||\\:|\\?|\\*|"|<|>|[\x00-\x1f\x7f-\x9f]/'	191,532,843,1132
