M3R1V0_OCTRNG	M3R1V1_CCC
1.0	1.0
0.75	1.0
1.0	1.0
1.0	1.0
NA	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.8	0.8
1.0	1.0
1.0	1.0
1.0	0.8
1.0	0.8
0.6	0.8
0.25	1.0
1.0	1.0
1.0	1.0
NA	1.0
0.8	1.0
1.0	0.8
1.0	0.8
1.0	1.0
1.0	1.0
1.0	0.5
1.0	1.0
1.0	1.0
1.0	1.0
0.0	1.0
1.0	1.0
