M6R1V1_CCC	M6R1V2_OCTCCC
1.0	0.2
1.0	1.0
0.4	1.0
1.0	0.5
1.0	0.4
1.0	0.25
1.0	1.0
1.0	0.25
1.0	1.0
1.0	1.0
1.0	0.4
0.4	0.4
0.4	0.2
0.0	1.0
0.4	1.0
1.0	1.0
1.0	0.25
1.0	NA
0.2	1.0
0.4	NA
1.0	1.0
1.0	0.4
1.0	1.0
0.8	0.4
1.0	0.25
1.0	NA
0.6	0.2
1.0	1.0
1.0	NA
NA	1.0
