M6R0V0_OR	M6R0V1_CCC
0.4	0.2
0.4	NA
0.4	1.0
0.4	1.0
0.4	1.0
0.4	0.25
0.25	0.8
1.0	1.0
1.0	0.8
0.0	1.0
0.8	1.0
0.8	1.0
1.0	0.4
1.0	0.8
1.0	1.0
1.0	1.0
0.4	1.0
0.25	1.0
1.0	0.4
0.6	1.0
0.8	1.0
1.0	0.4
1.0	0.4
0.4	0.4
1.0	1.0
1.0	0.8
1.0	0.8
1.0	1.0
0.4	0.4
1.0	1.0
