M3R0V0_OCTRNG	M3R0V2_HEXRNG
0.6	0.6
NA	0.6
0.8	0.6
1.0	1.0
1.0	1.0
0.6	1.0
0.6	1.0
1.0	1.0
1.0	0.6
0.5	0.8
1.0	1.0
0.6	0.8
NA	1.0
0.4	1.0
0.75	1.0
0.5	0.6
0.6	0.2
1.0	1.0
0.4	0.6
NA	0.2
0.6	0.6
0.4	0.6
1.0	0.6
0.6	1.0
0.6	1.0
0.8	0.4
0.4	0.8
0.8	1.0
NA	1.0
1.0	1.0
