M6R1V0_OR	M6R1V2_OCTCCC
1.0	0.2
1.0	1.0
0.8	1.0
1.0	0.5
1.0	0.4
0.8	0.25
1.0	1.0
1.0	0.25
1.0	1.0
1.0	1.0
1.0	0.4
0.4	0.4
1.0	0.2
0.4	1.0
1.0	1.0
1.0	1.0
1.0	0.25
0.8	NA
1.0	1.0
1.0	NA
1.0	1.0
1.0	0.4
1.0	1.0
1.0	0.4
1.0	0.25
1.0	NA
1.0	0.2
1.0	1.0
1.0	NA
1.0	1.0
